visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P000,aventurero,6,2025-10-03T13:05:27.023798,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P003,explorador,6,2025-10-03T13:05:27.023858,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P006,impaciente,9,2025-10-03T13:05:27.643818,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P009,familiar,11,2025-10-03T13:05:28.090643,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P011,explorador,8,2025-10-03T13:05:27.430702,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P013,familiar,11,2025-10-03T13:05:28.090664,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P014,impaciente,10,2025-10-03T13:05:27.856792,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P017,familiar,11,2025-10-03T13:05:28.090678,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P021,familiar,11,2025-10-03T13:05:28.090695,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P027,explorador,9,2025-10-03T13:05:27.643920,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P031,explorador,8,2025-10-03T13:05:27.430802,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P040,aventurero,9,2025-10-03T13:05:27.643981,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P053,familiar,11,2025-10-03T13:05:28.090837,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P056,aventurero,9,2025-10-03T13:05:27.644064,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P057,familiar,11,2025-10-03T13:05:28.090850,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
